time,conc
0,0.04
1,0.04
2,0.04
3,0.04
4,0.04
5,0.03
6,0.03
7,0.03
8,0.02
9,0.02
10,0.02
11,0.02
12,0.02
13,0.02
14,0.02
15,0.02
16,0.02
17,0.02
18,0.02
19,0.02
20,0.02
21,0.02
22,0.02
23,0.02
24,0.01
25,0.01
26,0.01
27,0.01
28,0.01
29,0
30,0
31,0
32,0
33,-0.01
34,-0.01
35,-0.01
36,0
37,0
38,0
39,0.01
40,0
41,0
42,0
43,-0.01
44,-0.01
45,-0.01
46,-0.01
47,-0.01
48,-0.01
49,-0.01
50,-0.01
51,-0.01
52,-0.01
53,-0.01
54,-0.01
55,-0.01
56,-0.01
57,-0.02
58,-0.02
59,-0.03
60,-0.02
61,-0.02
62,-0.02
63,-0.02
64,-0.03
65,-0.03
66,-0.03
67,-0.04
68,-0.04
69,-0.04
70,-0.05
71,-0.05
72,-0.05
73,-0.05
74,-0.05
75,-0.05
76,-0.06
77,-0.06
78,-0.06
79,-0.06
80,-0.06
81,-0.06
82,-0.06
83,-0.06
84,-0.06
85,-0.06
86,-0.06
87,-0.06
88,-0.06
89,-0.07
90,-0.07
91,-0.07
92,-0.07
93,-0.07
94,-0.07
95,-0.08
96,-0.08
97,-0.08
98,-0.07
99,-0.07
100,-0.06
101,-0.06
102,-0.06
103,-0.06
104,-0.06
105,-0.07
106,-0.07
107,-0.08
108,-0.08
109,-0.08
110,-0.08
111,-0.08
112,-0.08
113,-0.08
114,-0.08
115,-0.08
116,-0.08
117,-0.08
118,-0.08
119,-0.08
120,-0.08
121,-0.08
122,-0.08
123,-0.08
124,-0.08
125,-0.09
126,-0.09
127,-0.1
128,-0.1
129,-0.1
130,-0.1
131,-0.1
132,-0.1
133,-0.09
134,-0.09
135,-0.08
136,-0.08
137,-0.09
138,-0.09
139,-0.09
140,-0.1
141,-0.1
142,-0.11
143,-0.11
144,-0.11
145,-0.11
146,-0.11
147,-0.11
148,-0.11
149,-0.1
150,-0.1
151,-0.1
152,-0.1
153,-0.1
154,-0.1
155,-0.1
156,-0.11
157,-0.11
158,-0.11
159,-0.11
160,-0.11
161,-0.11
162,-0.11
163,-0.11
164,-0.11
165,-0.11
166,-0.11
167,-0.12
168,-0.12
169,-0.13
170,-0.13
171,-0.13
172,-0.12
173,-0.12
174,-0.12
175,-0.12
176,-0.12
177,-0.12
178,-0.12
179,-0.12
180,-0.12
181,-0.12
182,-0.12
183,-0.12
184,-0.12
185,-0.13
186,-0.13
187,-0.13
188,-0.13
189,-0.13
190,-0.13
191,-0.13
192,-0.13
193,-0.13
194,-0.13
195,-0.14
196,-0.14
197,-0.14
198,-0.14
199,-0.15
200,-0.15
201,-0.15
202,-0.15
203,-0.15
204,-0.15
205,-0.15
206,-0.15
207,-0.14
208,-0.14
209,-0.14
210,-0.14
211,-0.14
212,-0.14
213,-0.15
214,-0.15
215,-0.15
216,-0.15
217,-0.15
218,-0.15
219,-0.15
220,-0.15
221,-0.15
222,-0.15
223,-0.15
224,-0.15
225,-0.15
226,-0.15
227,-0.15
228,-0.15
229,-0.15
230,-0.15
231,-0.15
232,-0.15
233,-0.15
234,-0.15
235,-0.15
236,-0.15
237,-0.16
238,-0.16
239,-0.17
240,-0.17
241,-0.18
242,-0.17
243,-0.17
244,-0.17
245,-0.17
246,-0.17
247,-0.17
248,-0.18
249,-0.18
250,-0.18
251,-0.18
252,-0.18
253,-0.18
254,-0.18
255,-0.18
256,-0.18
257,-0.18
258,-0.18
259,-0.18
260,-0.18
261,-0.18
262,-0.18
263,-0.18
264,-0.18
265,-0.19
266,-0.19
267,-0.19
268,-0.19
269,-0.19
270,-0.18
271,-0.18
272,-0.18
273,-0.18
274,-0.18
275,-0.18
276,-0.18
277,-0.18
278,-0.18
279,-0.18
280,-0.18
281,-0.18
282,-0.18
283,-0.18
284,-0.18
285,-0.18
286,-0.18
287,-0.18
288,-0.18
289,-0.18
290,-0.19
291,-0.19
292,-0.2
293,-0.2
294,-0.2
295,-0.2
296,-0.2
297,-0.19
298,-0.19
299,-0.19
300,-0.18
301,-0.18
302,-0.18
303,-0.18
304,-0.18
305,-0.19
306,-0.19
307,-0.2
308,-0.2
309,-0.2
310,-0.21
311,-0.21
312,-0.21
313,-0.21
314,-0.21
315,-0.21
316,-0.2
317,-0.2
