time,signal
0,0.06
1,0.06
2,0.04
3,0.05
4,0.06
5,0.05
6,0.06
7,0.06
8,0.07
9,0.06
10,0.06
11,0.06
12,0.07
13,0.06
14,0.05
15,0.05
16,0.05
17,0.02
18,0.02
19,0.03
20,0.03
21,0.04
22,0.04
23,0.06
24,0.08
25,0.08
26,0.07
27,0.1
28,0.1
29,0.07
30,0.06
31,0.04
32,0.05
33,0.05
34,0.05
35,0.05
36,0.05
37,0.05
38,0.05
39,0.06
40,0.09
41,0.11
42,0.1
43,0.08
44,0.09
45,0.09
46,0.1
47,0.09
48,0.08
49,0.07
50,0.06
51,0.06
52,0.06
53,0.07
54,0.07
55,0.08
56,0.08
57,0.09
58,0.11
59,0.13
60,0.13
61,0.14
62,0.12
63,0.12
64,0.12
65,0.1
66,0.09
67,0.09
68,0.08
69,0.07
70,0.05
71,0.04
72,0.08
73,0.09
74,0.07
75,0.07
76,0.08
77,0.09
78,0.08
79,0.07
80,0.09
81,0.1
82,0.09
83,0.1
84,0.11
85,0.11
86,0.12
87,0.12
88,0.14
89,0.14
90,0.15
91,0.14
92,0.14
93,0.13
94,0.13
95,0.14
96,0.14
97,0.11
98,0.1
99,0.1
100,0.09
101,0.11
102,0.11
103,0.1
104,0.09
105,0.07
106,0.07
107,0.07
108,0.07
109,0.07
110,0.08
111,0.05
112,0.04
113,0.06
114,0.06
115,0.06
116,0.06
117,0.08
118,0.06
119,0.09
120,0.06
121,0.07
122,0.07
123,0.07
124,0.09
125,0.1
126,0.09
127,0.08
128,0.1
129,0.09
130,0.13
131,0.12
132,0.13
133,0.12
134,0.12
135,0.14
136,0.13
137,0.15
138,0.17
139,0.16
140,0.14
141,0.15
142,0.15
143,0.14
144,0.11
145,0.11
146,0.1
147,0.11
148,0.09
149,0.09
150,0.09
151,0.08
152,0.07
153,0.1
154,0.12
155,0.1
156,0.13
157,0.12
158,0.1
159,0.12
160,0.11
161,0.13
162,0.13
163,0.13
164,0.13
165,0.13
166,0.12
167,0.12
168,0.11
169,0.09
170,0.1
171,0.08
172,0.08
173,0.08
174,0.06
175,0.06
176,0.07
177,0.07
178,0.1
179,0.11
180,0.11
181,0.12
